name;slug;value;date_of_information;ranking;region
"Kosovo";"kosovo";"7.65";"2023";101;"Europe"
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"7.58";"2023";102;"Central America and the Caribbean"
"Cameroon";"cameroon";"7.54";"2023";103;"Africa"
"Burkina Faso";"burkina-faso";"7.5";"2023";104;"Africa"
"Cote d'Ivoire";"cote-divoire";"7.45";"2023";105;"Africa"
"Jamaica";"jamaica";"7.44";"2023";106;"Central America and the Caribbean"
"Albania";"albania";"7.36";"2023";107;"Europe"
"Mauritania";"mauritania";"7.33";"2023";108;"Africa"
"Guinea-Bissau";"guinea-bissau";"7.32";"2023";109;"Africa"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"7.32";"2023";110;"Central America and the Caribbean"
"Argentina";"argentina";"7.28";"2023";111;"South America"
"Korea, South";"korea-south";"7.28";"2023";112;"East and Southeast Asia"
"Luxembourg";"luxembourg";"7.17";"2023";113;"Europe"
"Haiti";"haiti";"7.17";"2023";114;"Central America and the Caribbean"
"Burma";"burma";"7.14";"2023";115;"East and Southeast Asia"
"Djibouti";"djibouti";"7.08";"2023";116;"Africa"
"Mexico";"mexico";"7.07";"2023";117;"North America"
"Cyprus";"cyprus";"6.99";"2023";118;"Europe"
"Guyana";"guyana";"6.95";"2023";119;"South America"
"Azerbaijan";"azerbaijan";"6.92";"2023";120;"Middle East"
"Kiribati";"kiribati";"6.91";"2023";121;"Australia and Oceania"
"Brazil";"brazil";"6.9";"2023";122;"South America"
"Seychelles";"seychelles";"6.9";"2023";123;"Africa"
"New Zealand";"new-zealand";"6.89";"2023";124;"Australia and Oceania"
"Indonesia";"indonesia";"6.77";"2023";125;"East and Southeast Asia"
"Australia";"australia";"6.76";"2023";126;"Australia and Oceania"
"Ireland";"ireland";"6.74";"2023";127;"Europe"
"Namibia";"namibia";"6.64";"2023";128;"Africa"
"Suriname";"suriname";"6.63";"2023";129;"South America"
"Morocco";"morocco";"6.61";"2023";130;"Africa"
"Eritrea";"eritrea";"6.6";"2023";131;"Africa"
"Chile";"chile";"6.58";"2023";132;"South America"
"Iceland";"iceland";"6.57";"2023";133;"Europe"
"Venezuela";"venezuela";"6.55";"2023";134;"South America"
"Sri Lanka";"sri-lanka";"6.54";"2023";135;"South Asia"
"Comoros";"comoros";"6.49";"2023";136;"Africa"
"Bahamas, The";"bahamas-the";"6.47";"2023";137;"Central America and the Caribbean"
"Liberia";"liberia";"6.46";"2023";138;"Africa"
"Fiji";"fiji";"6.44";"2023";139;"Australia and Oceania"
"Nauru";"nauru";"6.39";"2023";140;"Australia and Oceania"
"Tunisia";"tunisia";"6.38";"2023";141;"Africa"
